variant	LocationID_coronA	LocationName_coronA	sample_id	sample_date	value
B.1.617.2	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-03	0
B.1.621	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-03	0
R.1	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-03	0
B.1.1.7	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3121_S75340	2021-01-11	0.194701624305289
B.1.160	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3121_S75340	2021-01-11	0.41079351841596
B.1.177.86	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3121_S75340	2021-01-11	0.220978492451834
B.1.258.17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3121_S75340	2021-01-11	0.173519849362462
B.1.351	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-11	0
B.1.525	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-11	0
B.1.617.2	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-11	0
B.1.621	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-11	0
R.1	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-11	0
B.1.1.7	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-13	0
B.1.160	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-13	0
B.1.177.86	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-13	0
B.1.258.17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3122_S75325	2021-01-13	0.31152
B.1.351	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-13	0
B.1.525	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-13	0
B.1.617.2	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-13	0
B.1.621	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-13	0
R.1	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-13	0
B.1.1.7	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3170_S75900	2021-01-18	0.425940406730354
B.1.160	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-18	0
B.1.177.86	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3170_S75900	2021-01-18	0.420767417825485
B.1.258.17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3170_S75900	2021-01-18	0.153286707168363
B.1.351	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-18	0
B.1.525	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-18	0
B.1.617.2	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-18	0
B.1.621	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-18	0
R.1	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-18	0
B.1.1.7	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3271_S76263	2021-01-21	0.407587376927
B.1.160	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3271_S76263	2021-01-21	0.229641470207508
B.1.177.86	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3271_S76263	2021-01-21	0.362766249558702
B.1.258.17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-21	0
B.1.351	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-21	0
B.1.525	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-21	0
B.1.617.2	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-21	0
B.1.621	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-21	0
R.1	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-21	0
B.1.1.7	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3272_S76241	2021-01-25	0.391902008769888
B.1.160	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3272_S76241	2021-01-25	0.119217630368725
B.1.177.86	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3272_S76241	2021-01-25	0.333469641969639
B.1.258.17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3272_S76241	2021-01-25	0.155404427723918
B.1.351	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-25	0
B.1.525	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-25	0
B.1.617.2	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-25	0
B.1.621	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-25	0
R.1	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-25	0
B.1.1.7	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3682_S76801	2021-01-31	0.49689
B.1.160	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-31	0
B.1.177.86	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-31	0
B.1.258.17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3682_S76801	2021-01-31	0.2177
B.1.351	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-31	0
B.1.525	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-31	0
B.1.617.2	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-31	0
